brake_temp_lf,brake_temp_rf,brake_temp_lr,brake_temp_rr,tyre_press_lf,tyre_press_rf,tyre_press_lr,tyre_press_rr,tyre_tair_lf,tyre_tair_rf,tyre_tair_lr,tyre_tair_rr
306.53156,301.20767,322.0383,318.43295,27.046679,26.821724,27.047174,26.786283,84.21788,83.2265,90.47304,88.08993
305.91006,300.5986,321.55344,317.95444,27.047043,26.821133,27.047747,26.78597,84.22153,83.22016,90.478836,88.08652
305.28934,299.99023,321.06888,317.4762,27.047382,26.820505,27.04828,26.785633,84.224884,83.21346,90.48423,88.08281
304.66946,299.38278,320.58478,316.9984,27.047709,26.819872,27.04877,26.78526,84.2282,83.20677,90.489265,88.07883
304.05017,298.77585,320.10083,316.52072,27.048042,26.819246,27.049301,26.784925,84.23149,83.200066,90.494576,88.07517
303.4318,298.16977,319.61725,316.0435,27.048374,26.818623,27.049822,26.784584,84.23477,83.193405,90.49984,88.07146
302.81406,297.56433,319.134,315.5665,27.048689,26.817995,27.050316,26.784222,84.237976,83.186775,90.50489,88.06759
302.19702,296.95963,318.651,315.0898,27.049004,26.81736,27.05082,26.783873,84.24108,83.18,90.50999,88.063774
301.5809,296.35577,318.16846,314.61353,27.049332,26.816765,27.051334,26.78353,84.24432,83.17363,90.515175,88.06002
300.96527,295.7524,317.68604,314.1374,27.049637,26.816126,27.051857,26.783194,84.24741,83.16688,90.52053,88.05644
300.3506,295.14984,317.20398,313.66162,27.049923,26.81548,27.052336,26.78283,84.250244,83.15998,90.52535,88.052505
299.7367,294.54816,316.72235,313.18625,27.050213,26.814842,27.052795,26.78246,84.25307,83.15316,90.529976,88.04845
299.12344,293.94708,316.2409,312.71106,27.050491,26.814205,27.053286,26.782108,84.2559,83.14646,90.53499,88.04474
298.51086,293.34674,315.75983,312.23624,27.05077,26.813572,27.053782,26.78176,84.25861,83.13969,90.53998,88.04092
297.89917,292.74716,315.2791,311.76178,27.051033,26.81293,27.054237,26.781387,84.261215,83.13282,90.54456,88.036865
297.28824,292.14838,314.79874,311.28763,27.051311,26.812286,27.0547,26.781025,84.26395,83.12596,90.549225,88.032936
296.67795,291.55023,314.3186,310.81375,27.051552,26.811636,27.055176,26.780674,84.26634,83.1191,90.55408,88.0292
296.06863,290.95303,313.839,310.34033,27.051805,26.810999,27.055626,26.780294,84.26881,83.11228,90.55859,88.02506
295.45996,290.35654,313.35962,309.86716,27.05205,26.810364,27.056084,26.779924,84.27119,83.105484,90.56318,88.021034
294.85217,289.76083,312.8806,309.39438,27.052301,26.809723,27.05655,26.779564,84.273735,83.09873,90.567955,88.0172
294.24512,289.16586,312.40192,308.92188,27.05255,26.809086,27.057016,26.779215,84.27614,83.09193,90.57265,88.01338
293.6389,288.57166,311.9236,308.44974,27.052767,26.808432,27.057453,26.778843,84.27822,83.084946,90.57703,88.00934
293.03354,287.9783,311.44565,307.97797,27.052969,26.807762,27.057865,26.77845,84.28026,83.07787,90.58124,88.00515
292.42892,287.38565,310.96805,307.50653,27.053171,26.807102,27.058298,26.778074,84.28219,83.07084,90.58558,88.00108
291.82507,286.79382,310.49078,307.0355,27.05336,26.806442,27.058722,26.777695,84.28398,83.06379,90.58982,87.99694
291.2221,286.2028,310.01398,306.5648,27.053555,26.805777,27.059122,26.777296,84.28592,83.05677,90.593895,87.99271
290.61984,285.61243,309.5374,306.09436,27.05371,26.805107,27.059542,26.776913,84.28737,83.04963,90.59811,87.988556
290.0186,285.02304,309.0613,305.62445,27.053907,26.804453,27.059938,26.776514,84.28924,83.04263,90.60206,87.984215
289.418,284.4344,308.58557,305.15485,27.054104,26.803818,27.060354,26.776144,84.29121,83.03592,90.606285,87.98027
288.81827,283.84653,308.1101,304.68558,27.05431,26.803198,27.060793,26.775808,84.29317,83.029305,90.610695,87.9766
288.2193,283.2594,307.63507,304.21667,27.054482,26.802563,27.0612,26.775455,84.29486,83.0226,90.61483,87.972824
287.62112,282.67303,307.16037,303.74808,27.054605,26.801918,27.061577,26.775091,84.29598,83.0157,90.61858,87.96886
