gear,g_lon
0.0,-2.8775406e-05
0.0,-1.6113201e-05
0.0,-4.328157e-06
0.0,4.614964e-07
0.0,-4.079694e-07
0.0,1.9409329e-06
0.0,3.8117914e-06
0.0,3.5973255e-07
0.0,1.2174194e-06
0.0,0.00010180715
0.0,0.00046463415
0.0,-0.00018884407
0.0,-0.00049114967
0.0,-0.00029699173
0.0,1.8757635e-05
0.0,0.00019977771
0.0,0.0001746789
0.0,2.7902392e-05
0.0,-4.126328e-05
0.0,-2.0884447e-05
0.0,2.278489e-05
0.0,2.6961467e-05
0.0,1.30594e-05
0.0,6.7522246e-06
0.0,2.0512239e-06
0.0,-3.7784444e-06
0.0,-4.578323e-06
0.0,1.2905914e-06
0.0,1.2083257e-07
0.0,2.1456362e-06
0.0,-8.2498866e-07
0.0,-8.770043e-08
0.0,1.1511394e-06
0.0,6.2474857e-07
0.0,4.877396e-07
0.0,-1.1166753e-06
0.0,1.802686e-06
0.0,4.270328e-07
0.0,5.6596843e-07
0.0,-1.6487384e-06
0.0,-8.000396e-07
0.0,5.602923e-06
0.0,4.931926e-06
0.0,2.9420082e-07
0.0,-2.1651603e-07
0.0,-1.3584652e-06
0.0,-4.115112e-07
0.0,1.6054491e-06
0.0,3.214102e-06
0.0,9.1566346e-07
0.0,-2.729424e-07
0.0,-4.551013e-07
0.0,8.0448734e-07
0.0,3.5481847e-07
0.0,-8.3728617e-07
0.0,-8.1490657e-07
0.0,-6.9641527e-07
0.0,-3.5088638e-06
0.0,3.7671546e-07
0.0,-1.5269618e-06
0.0,-3.935451e-06
0.0,-7.646115e-07
0.0,2.0720981e-07
0.0,1.7299806e-06
0.0,-6.473298e-07
0.0,-1.9788101e-07
0.0,-1.126594e-06
0.0,-3.1824661e-06
0.0,-2.1878527e-06
0.0,1.1788032e-06
0.0,-1.457744e-06
0.0,1.4252902e-08
0.0,-7.5852924e-08
0.0,-3.2264003e-07
0.0,-1.0180365e-06
0.0,-1.805184e-06
0.0,-9.80259e-07
0.0,4.640625e-07
0.0,-1.065291e-06
0.0,-7.915142e-07
0.0,-2.9631492e-06
0.0,-1.9248073e-06
0.0,-1.1012822e-06
0.0,1.8206279e-06
0.0,-3.5956526e-07
0.0,-1.1964726e-06
0.0,1.1442718e-06
0.0,2.9021468e-08
0.0,-4.375854e-07
0.0,1.2224598e-06
0.0,1.0561165e-06
0.0,0.00021280961
0.0,-0.022726094
0.0,0.08416617
0.0,-0.8058662
0.0,0.1856301
0.0,0.31303695
0.0,0.04704387
0.0,-0.0080438275
0.0,0.14752738
0.0,-0.47721586
0.0,-0.17071338
0.0,0.05606418
0.0,0.567143
0.0,0.054186627
0.0,-0.17060903
0.0,-0.1512437
0.0,0.012313671
0.0,0.020616122
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,0.0
1.0,0.00706854
1.0,-0.013237169
1.0,-0.0027212345
1.0,-0.007870003
1.0,-0.006423898
1.0,0.002272844
1.0,0.056139376
1.0,0.26313278
1.0,0.51367027
1.0,0.68682635
1.0,0.7636734
1.0,0.82169694
1.0,0.79052585
1.0,0.812644
1.0,0.84302473
1.0,0.83746105
1.0,0.8224043
1.0,0.81164914
1.0,0.8054472
1.0,0.80240494
1.0,0.787292
1.0,0.77466136
1.0,0.751966
1.0,0.74953854
1.0,0.75895697
1.0,0.7531132
1.0,0.7561894
1.0,0.73865634
1.0,0.76278067
1.0,0.781392
1.0,0.7809621
1.0,0.74772996
1.0,0.7537677
1.0,0.75281924
1.0,0.7746034
1.0,0.7180221
1.0,0.72380984
1.0,0.7391778
1.0,0.76042604
1.0,0.6840727
1.0,0.8941277
1.0,0.7451516
1.0,0.73551387
1.0,0.78840727
1.0,0.8248229
1.0,0.87728167
1.0,0.7203388
1.0,0.61847275
1.0,0.83325875
1.0,0.8285024
1.0,0.8060421
1.0,0.7849758
1.0,0.8396312
1.0,0.8050019
1.0,0.741567
1.0,0.82342726
1.0,0.8771524
1.0,0.80837625
1.0,0.7392374
1.0,0.7946567
1.0,0.7583628
1.0,0.8118475
1.0,0.76723945
1.0,0.7702315
1.0,0.7727452
1.0,0.75692725
1.0,0.77785885
1.0,0.7827982
1.0,0.7651161
1.0,0.78823185
1.0,0.79778373
1.0,0.7888318
1.0,0.79093236
1.0,0.79853547
1.0,0.7849322
1.0,0.7647419
1.0,0.752546
1.0,0.78057224
1.0,0.6245878
