steerangle,speed,throttle,brake
0.0,6.599481e-05,0.0,100.0
0.0,6.2851585e-05,0.0,100.0
0.0,5.9341226e-05,0.0,100.0
0.0,5.54549e-05,0.0,100.0
0.0,5.2211282e-05,0.0,100.0
0.0,4.8230948e-05,0.0,100.0
0.0,4.3907115e-05,0.0,100.0
0.0,4.0093764e-05,0.0,100.0
0.0,3.5646743e-05,0.0,100.0
0.0,3.1243268e-05,0.0,100.0
0.0,2.7606586e-05,0.0,100.0
0.0,2.3625029e-05,0.0,100.0
0.0,2.0011164e-05,0.0,100.0
0.0,1.7215523e-05,0.0,100.0
0.0,1.42470935e-05,0.0,100.0
0.0,1.1473569e-05,0.0,100.0
0.0,9.257889e-06,0.0,100.0
0.0,6.9821176e-06,0.0,100.0
0.0,5.0415447e-06,0.0,100.0
0.0,3.4835818e-06,0.0,100.0
0.0,1.7283805e-06,0.0,100.0
0.0,3.169562e-07,0.0,100.0
0.0,9.955972e-07,0.0,100.0
0.0,2.161015e-06,0.0,100.0
0.0,3.1808352e-06,0.0,100.0
0.0,3.9270044e-06,0.0,100.0
0.0,4.793779e-06,0.0,100.0
0.0,5.594242e-06,0.0,100.0
0.0,6.0956672e-06,0.0,100.0
0.0,6.6209054e-06,0.0,100.0
0.0,6.9530283e-06,0.0,100.0
0.0,7.1322725e-06,0.0,100.0
0.0,7.2359926e-06,0.0,100.0
0.0,7.340874e-06,0.0,100.0
0.0,7.2986304e-06,0.0,100.0
0.0,7.302723e-06,0.0,100.0
0.0,7.0959586e-06,0.0,100.0
0.0,6.7529295e-06,0.0,100.0
0.0,6.4687943e-06,0.0,100.0
0.0,6.1869046e-06,0.0,100.0
0.0,5.9572744e-06,0.0,100.0
0.0,5.635395e-06,0.0,100.0
0.0,5.380146e-06,0.0,100.0
0.0,5.1169436e-06,0.0,100.0
0.0,4.7405442e-06,0.0,100.0
0.0,4.4368126e-06,0.0,100.0
0.0,4.1159715e-06,0.0,100.0
0.0,3.7805214e-06,0.0,100.0
0.0,3.5120518e-06,0.0,100.0
0.0,3.1968934e-06,0.0,100.0
0.0,2.9405526e-06,0.0,100.0
0.0,2.6483494e-06,0.0,100.0
0.0,2.4338967e-06,0.0,100.0
