gear,g_lon
0.0,2.115418e-06
0.0,-0.00020913625
0.0,-0.00018303853
0.0,0.0002269761
0.0,0.00027668368
0.0,0.00011707934
0.0,-6.5353044e-05
0.0,-8.537906e-05
0.0,-1.290193e-05
0.0,3.1741227e-05
0.0,3.431447e-06
0.0,-2.8195447e-05
0.0,-2.3886734e-05
0.0,-8.885536e-06
0.0,-7.0788437e-06
0.0,-6.1882915e-06
0.0,-8.25746e-06
0.0,-3.8053015e-06
0.0,-4.7957856e-06
0.0,-5.170908e-07
0.0,-2.2088345e-06
0.0,3.3824836e-07
0.0,2.0695095e-06
0.0,1.4803145e-06
0.0,4.5853196e-07
0.0,4.7237538e-07
0.0,2.102751e-06
0.0,-6.917626e-07
0.0,7.807332e-07
0.0,-2.1449082e-06
0.0,3.6091234e-07
0.0,1.3398327e-06
0.0,4.5668415e-07
0.0,-1.0079698e-06
0.0,-1.1046169e-06
0.0,5.76248e-09
0.0,2.357177e-07
0.0,1.6575572e-07
0.0,-1.7415024e-06
0.0,1.7099268e-07
0.0,4.963461e-07
0.0,7.551045e-07
0.0,2.1158067e-07
0.0,1.22257e-06
0.0,1.6394479e-07
0.0,3.8468002e-08
0.0,-1.577422e-06
0.0,1.0547552e-06
0.0,6.6818984e-07
0.0,-2.7781892e-08
0.0,-1.1252055e-06
0.0,1.2657845e-06
0.0,-4.1573617e-07
0.0,-9.98843e-08
0.0,1.2257083e-06
0.0,-1.1350894e-06
0.0,3.9214232e-08
0.0,-4.0840277e-07
0.0,-2.3694447e-06
0.0,8.5054484e-07
0.0,2.29396e-06
0.0,6.791598e-07
0.0,1.1396373e-07
0.0,9.295957e-07
0.0,-9.029111e-07
0.0,-1.0413983e-06
0.0,-6.0014884e-07
0.0,-1.2161493e-06
0.0,-1.4931203e-06
0.0,-0.036699753
0.0,-0.031708542
0.0,-0.15591644
0.0,0.11838962
0.0,0.12610957
0.0,-0.01413176
0.0,0.022224545
0.0,0.27523297
0.0,-0.31338078
0.0,-0.060121797
0.0,0.211027
0.0,0.066671744
0.0,-0.07278232
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
