g_lat,roty
0.002292756,-2.113413e-05
-5.7504858e-05,0.0001435283
-0.00011289466,0.00024075805
0.00033307096,0.00021245067
0.008417041,-0.00013727194
0.007947459,-0.00059797
0.0054611834,-0.00077750906
0.0129504455,-0.00032219908
0.012784278,-0.0070426064
0.00043510506,-0.0035951026
-0.0049719247,-0.005759729
0.00066503976,-0.006473362
0.00031173698,-0.0060411794
2.822078e-05,-0.0064922166
0.0026265825,-0.007242247
0.0051105907,-0.007582039
0.008854282,-0.0063282126
0.0119856065,-0.0025599026
0.013621076,0.0032031194
0.010972516,0.0077105537
0.0049455985,0.007381653
-0.0006780225,0.001763317
-0.0011851463,-0.0071899975
0.0010630145,-0.015293778
-0.0006463341,-0.02222429
-0.0033108036,-0.030137436
-0.0050233677,-0.03800788
-0.006055085,-0.045052607
-0.0071418495,-0.050313257
0.0072507015,-0.04887335
0.02252416,-0.037786573
0.03289012,-0.018342089
0.024358854,-0.00014563478
0.010685441,0.008028877
-0.14847757,0.019603437
-0.0327771,0.05640712
0.06169072,0.08134046
0.11167555,0.092946
0.15059453,0.11388323
0.12220348,0.12189904
0.09469055,0.09682508
0.049650222,0.06296109
0.005862786,0.01903899
-0.03482864,-0.022493793
-0.04881413,-0.05166277
-0.055458322,-0.057811644
-0.04759109,-0.0506096
-0.028180843,-0.027302556
-0.014555244,-0.001346011
-0.005627148,0.014147266
-0.009263133,0.017431663
-0.019062836,0.009580778
-0.018037967,-0.0013173815
-0.012665695,-0.0077141123
-0.0019511544,-0.008803873
