brake_temp_lf,brake_temp_rf,brake_temp_lr,brake_temp_rr,tyre_press_lf,tyre_press_rf,tyre_press_lr,tyre_press_rr,tyre_tair_lf,tyre_tair_rf,tyre_tair_lr,tyre_tair_rr
392.46878,392.2172,337.05957,337.3629,25.44166,25.670197,25.414837,25.490757,75.67774,73.89165,79.56498,79.3152
391.97455,391.72336,336.748,337.05103,25.442347,25.66995,25.41587,25.491121,75.6849,73.88909,79.57578,79.319016
391.48083,391.23004,336.43658,336.73926,25.443039,25.669746,25.416887,25.491467,75.692116,73.88698,79.58638,79.322624
390.9873,390.73685,336.12518,336.42755,25.443743,25.669514,25.417955,25.491829,75.69947,73.884575,79.5975,79.32642
390.4942,390.2441,335.81387,336.11594,25.44445,25.669323,25.419014,25.492199,75.706856,73.8826,79.60855,79.33027
390.00128,389.7515,335.50266,335.8043,25.445183,25.669058,25.420076,25.492558,75.71449,73.87985,79.61964,79.33404
389.50876,389.25934,335.1915,335.49283,25.44588,25.668852,25.421106,25.492916,75.72177,73.87771,79.63037,79.337776
389.01642,388.7674,334.88037,335.18137,25.446579,25.66859,25.422161,25.493277,75.729065,73.87501,79.64139,79.341545
388.52448,388.2758,334.56937,334.87006,25.447275,25.668354,25.42318,25.493622,75.736336,73.87257,79.65201,79.34516
388.03278,387.7845,334.2584,334.55872,25.44798,25.668121,25.424213,25.493977,75.74369,73.87015,79.66278,79.34885
387.5415,387.29358,333.94757,334.2476,25.448711,25.667904,25.425266,25.49434,75.751305,73.8679,79.67375,79.35266
387.05026,386.80273,333.6367,333.9363,25.449394,25.667667,25.426338,25.494728,75.75844,73.86544,79.68492,79.35671
386.55948,386.31235,333.326,333.62527,25.450096,25.667446,25.427336,25.495073,75.765755,73.863144,79.69534,79.36031
386.06866,385.82193,333.01508,333.31406,25.450687,25.66721,25.428364,25.495436,75.77193,73.86069,79.70606,79.364105
385.5787,385.33234,332.7046,333.00323,25.451365,25.667017,25.42934,25.495735,75.779,73.8587,79.716255,79.36725
385.08893,384.8429,332.39413,332.6924,25.452164,25.666859,25.430422,25.49613,75.78733,73.85706,79.727516,79.37136
384.59924,384.35358,332.08362,332.38156,25.452875,25.666704,25.431553,25.496595,75.79476,73.85546,79.73931,79.37623
384.10947,383.8642,331.77295,332.07056,25.453476,25.666512,25.432579,25.496998,75.80102,73.85347,79.75002,79.38041
383.62027,383.37537,331.4625,331.7598,25.454065,25.666285,25.43354,25.497316,75.80718,73.85111,79.76005,79.38376
383.13135,382.8868,331.15213,331.44907,25.454641,25.666069,25.4345,25.497652,75.813194,73.848885,79.77005,79.387276
