gear,g_lon
0.0,2.0392746e-07
0.0,-5.839525e-07
0.0,5.264804e-07
0.0,1.825187e-06
0.0,-5.7831454e-07
0.0,-6.629314e-07
0.0,-1.4808465e-06
0.0,1.2920706e-06
0.0,-3.160463e-06
0.0,1.0899936e-06
0.0,1.4784742e-06
0.0,-8.929752e-07
0.0,-9.687021e-07
0.0,-3.445597e-08
0.0,1.6209641e-06
0.0,-2.5233037e-06
0.0,3.076739e-07
0.0,-1.8982754e-06
0.0,1.7547909e-06
0.0,7.07695e-07
0.0,1.5818011e-07
0.0,-4.892266e-07
0.0,-1.8166238e-06
0.0,-2.1108935e-06
0.0,2.1721435e-06
0.0,-4.961204e-07
0.0,-6.065662e-07
0.0,5.14945e-07
0.0,-2.3374284e-06
0.0,3.7002037e-06
0.0,2.951801e-06
0.0,-1.7616127e-06
0.0,1.0044044e-07
0.0,-4.5866182e-07
0.0,3.009812e-06
0.0,1.6766714e-06
0.0,7.375848e-07
0.0,-4.262021e-06
0.0,5.9771867e-07
0.0,4.6854007e-06
0.0,-9.5077763e-07
0.0,-3.0752352e-07
0.0,3.158233e-06
0.0,3.887691e-06
0.0,-2.038515e-06
0.0,1.2089104e-07
0.0,-1.7689979e-06
0.0,1.1392897e-06
0.0,0.31758755
0.0,0.059900917
0.0,0.043600403
0.0,-0.50870484
0.0,0.11510921
0.0,0.21836457
0.0,0.053494304
0.0,0.11700421
0.0,0.08264647
0.0,-0.35005334
0.0,0.22187667
0.0,0.16127744
0.0,-0.053679317
0.0,-0.03833755
