steerangle,speed,throttle,brake
0.0,2.9390418e-05,0.0,100.0
0.0,2.8877643e-05,0.0,100.0
0.0,2.7898857e-05,0.0,100.0
0.0,2.6569362e-05,0.0,100.0
0.0,2.5141517e-05,0.0,100.0
0.0,2.33941e-05,0.0,100.0
0.0,2.1493566e-05,0.0,100.0
0.0,1.9928459e-05,0.0,100.0
0.0,1.7949353e-05,0.0,100.0
0.0,1.61536e-05,0.0,100.0
0.0,1.4680538e-05,0.0,100.0
0.0,1.3267531e-05,0.0,100.0
0.0,1.1841429e-05,0.0,100.0
0.0,1.07216465e-05,0.0,100.0
0.0,9.554537e-06,0.0,100.0
0.0,8.416013e-06,0.0,100.0
0.0,7.554044e-06,0.0,100.0
0.0,6.5353724e-06,0.0,100.0
0.0,5.578725e-06,0.0,100.0
0.0,4.746816e-06,0.0,100.0
0.0,3.7817233e-06,0.0,100.0
0.0,2.8904278e-06,0.0,100.0
0.0,2.2906984e-06,0.0,100.0
0.0,1.6316377e-06,0.0,100.0
0.0,1.0763695e-06,0.0,100.0
0.0,6.1845174e-07,0.0,100.0
0.0,2.6738817e-07,0.0,100.0
0.0,2.4456597e-07,0.0,100.0
0.0,3.7440847e-07,0.0,100.0
0.0,5.491719e-07,0.0,100.0
0.0,7.252662e-07,0.0,100.0
0.0,9.405864e-07,0.0,100.0
0.0,1.1358402e-06,0.0,100.0
0.0,1.3825814e-06,0.0,100.0
0.0,1.4618143e-06,0.0,100.0
0.0,1.5567409e-06,0.0,100.0
0.0,1.5602901e-06,0.0,100.0
0.0,1.5814333e-06,0.0,100.0
0.0,1.5398642e-06,0.0,100.0
0.0,1.5044502e-06,0.0,100.0
0.0,1.4703164e-06,0.0,100.0
0.0,1.4088032e-06,0.0,100.0
0.0,1.2973767e-06,0.0,100.0
0.0,1.2533573e-06,0.0,100.0
0.0,1.1654481e-06,0.0,100.0
0.0,1.1754925e-06,0.0,100.0
0.0,1.1524069e-06,0.0,100.0
0.0,1.0764314e-06,0.0,100.0
0.0,1.0177038e-06,0.0,100.0
0.0,9.625402e-07,0.0,100.0
0.0,8.839243e-07,0.0,100.0
0.0,8.2816916e-07,0.0,100.0
0.0,7.7812916e-07,0.0,100.0
0.0,7.226498e-07,0.0,100.0
0.0,6.7237096e-07,0.0,100.0
0.0,6.126784e-07,0.0,100.0
0.0,5.2838743e-07,0.0,100.0
0.0,4.7195692e-07,0.0,100.0
0.0,4.282153e-07,0.0,100.0
0.0,3.5507244e-07,0.0,100.0
0.0,3.6524784e-07,0.0,100.0
0.0,2.9354146e-07,0.0,100.0
0.0,2.2225267e-07,0.0,100.0
0.0,1.5447627e-07,0.0,100.0
0.0,1.1206895e-07,0.0,100.0
0.0,1.0651918e-07,0.0,100.0
0.0,8.98759e-08,0.0,100.0
0.0,2.525521e-08,0.0,100.0
0.0,5.6424433e-08,0.0,100.0
0.0,8.4804704e-08,0.0,100.0
0.0,1.187025e-07,0.0,100.0
0.0,8.8843926e-08,0.0,100.0
0.0,1.2578896e-07,0.0,100.0
0.0,1.5914503e-07,0.0,100.0
0.0,1.7441184e-07,0.0,100.0
0.0,1.4367306e-07,0.0,100.0
0.0,1.755703e-07,0.0,100.0
0.0,1.6652247e-07,0.0,100.0
0.0,1.615988e-07,0.0,100.0
0.0,1.6766091e-07,0.0,100.0
0.0,1.9935088e-07,0.0,100.0
0.0,1.7881199e-07,0.0,100.0
0.0,1.6734592e-07,0.0,100.0
0.0,1.1652887e-07,0.0,100.0
0.0,1.5668593e-07,0.0,100.0
0.0,1.424784e-07,0.0,100.0
0.0,1.2188514e-07,0.0,100.0
0.0,1.2400729e-07,0.0,100.0
0.0,9.93755e-08,0.0,100.0
0.0,1.1298579e-07,0.0,100.0
0.0,1.1484369e-07,0.0,100.0
0.0,1.01351624e-07,0.0,100.0
0.0,8.334254e-08,0.0,100.0
0.0,8.560555e-08,0.0,100.0
0.0,5.085137e-08,0.0,100.0
0.0,4.583523e-08,0.0,100.0
0.0,3.5726238e-08,0.0,100.0
0.0,7.354148e-08,0.0,100.0
0.0,8.8395744e-08,0.0,100.0
0.0,8.492391e-08,0.0,100.0
0.0,7.646837e-08,0.0,100.0
0.0,1.1531458e-07,0.0,100.0
0.0,1.0217597e-07,0.0,100.0
0.0,8.5001545e-08,0.0,100.0
0.0,4.540231e-08,0.0,100.0
0.0,5.1905833e-08,0.0,100.0
0.0,8.6688246e-08,0.0,100.0
0.0,6.988762e-08,0.0,100.0
0.0,7.5550396e-08,0.0,100.0
0.0,8.339939e-08,0.0,100.0
0.0,1.1043331e-07,0.0,100.0
0.0,6.420686e-08,0.0,100.0
0.0,4.5614208e-08,0.0,100.0
0.0,5.032768e-08,0.0,100.0
0.0,6.738573e-08,0.0,100.0
0.0,4.4138087e-08,0.0,100.0
0.0,4.873485e-08,0.0,100.0
0.0,1.3393405e-07,0.0,100.0
0.0,7.2170636e-08,0.0,100.0
0.0,6.8437835e-08,0.0,100.0
0.0,5.917523e-08,0.0,100.0
0.0,9.108237e-08,0.0,100.0
0.0,5.4005493e-08,0.0,100.0
0.0,4.068319e-08,0.0,100.0
0.0,6.102912e-08,0.0,100.0
0.0,7.196136e-08,0.0,100.0
0.0,6.635883e-08,0.0,100.0
0.0,8.877337e-08,0.0,100.0
0.0,1.2082413e-07,0.0,100.0
0.0,4.0846057e-08,0.0,100.0
0.0,7.165379e-08,0.0,100.0
0.0,6.676709e-08,0.0,100.0
0.0,2.0464025e-08,0.0,100.0
0.0,7.602465e-08,0.0,100.0
0.0,8.669321e-08,0.0,100.0
0.0,1.3802568e-07,0.0,100.0
0.0,7.098634e-08,0.0,100.0
0.0,2.443711e-08,0.0,100.0
0.0,3.927366e-08,0.0,100.0
0.0,1.13741336e-07,0.0,100.0
0.0,7.309519e-08,0.0,100.0
0.0,1.677978e-07,0.0,100.0
0.0,6.323094e-08,0.0,100.0
0.0,1.3440459e-07,0.0,100.0
0.0,7.523393e-08,0.0,100.0
0.0,8.8273225e-08,0.0,100.0
0.0,9.44879e-08,0.0,100.0
0.0,2.9496169e-08,0.0,100.0
0.0,6.6692806e-08,0.0,100.0
0.0,5.3108707e-08,0.0,100.0
0.0,5.376367e-08,0.0,100.0
0.0,1.45930095e-08,0.0,100.0
0.0,5.5713187e-08,0.0,100.0
