g_lat,roty
0.0034577705,2.6355178e-06
-0.0010466324,-0.00050969445
0.0012472412,-0.00037649882
0.0008212145,-0.00010672496
0.0010183626,-0.000120258104
0.0023193008,0.0005619778
-0.008099523,-0.0032418799
-0.0046778703,-0.0054977997
-0.0018056046,-0.0067259665
-0.0033484637,-0.0072542205
-0.0050575123,-0.008367754
-0.0132342465,-0.0100173475
-0.027133761,-0.01824786
-0.035322476,-0.03211467
-0.041843876,-0.044865683
-0.031694677,-0.06166623
-0.048156668,-0.08249096
-0.068469435,-0.09875146
-0.08137764,-0.122844554
-0.10192385,-0.1439015
-0.12088074,-0.16513342
-0.13023247,-0.1896484
-0.13968918,-0.21776171
-0.18090285,-0.23534875
-0.19704324,-0.26384857
-0.1976169,-0.30962023
-0.19261356,-0.35113826
-0.25181395,-0.40055975
-0.24672326,-0.48168907
-0.24061358,-0.52791756
-0.28800184,-0.61911374
-0.29629606,-0.6755381
-0.3709412,-0.76378536
-0.37512282,-0.84321445
-0.4672778,-0.985185
-0.5208623,-1.0718288
-0.63049716,-1.163743
-0.6896101,-1.2078065
-0.8921191,-1.1330508
-0.8984825,-0.9520821
-0.87773573,-0.73413604
-0.9338626,-0.46042475
-0.84578913,-0.14465602
-0.64611465,0.1949096
0.030020708,0.4247158
0.43553093,0.5143379
0.44997782,0.4787043
0.19558859,0.4056829
0.13068865,0.3015658
0.032443304,0.17560928
-0.120984085,0.025218198
-0.2584146,-0.10199383
-0.28806636,-0.15549187
-0.22575864,-0.16501762
-0.20037976,-0.16182275
-0.11908484,-0.13504897
-0.11904424,-0.107042536
-0.065642245,-0.07682965
-0.14124674,-0.07550613
-0.16525741,-0.09691274
-0.23285301,-0.13092898
-0.22921516,-0.15959144
-0.24440716,-0.17231697
-0.20158175,-0.16425872
-0.19415191,-0.15515475
-0.17049782,-0.13698067
-0.14893232,-0.11679752
-0.116979,-0.09697147
-0.09018573,-0.074212946
-0.038705286,-0.04548623
0.00044391947,-0.017805997
0.012805802,0.0009565018
0.0051139416,0.0055697705
-3.2470525e-05,0.001595772
-0.0074285665,-0.00010348734
0.008006361,0.0024461201
-0.0012440007,0.0030580442
-0.017178874,-0.0015000469
-0.0155608775,-0.008808002
-0.010540334,-0.008386782
-0.034003817,-0.013580585
-0.05017848,-0.019051684
-0.06281772,-0.02468636
-0.06513249,-0.040940598
-0.07163311,-0.03914726
-0.031689588,-0.045959346
-0.05938649,-0.033924054
-0.032594442,-0.0319003
-0.019940034,-0.021866275
0.023562834,-0.022161705
0.0048334147,-0.015227657
-0.06677421,-0.014606977
-0.0058928775,0.0038988863
0.001481501,0.008365136
0.02958977,0.024192808
0.0794164,0.043981835
